      Class    precision   recall  f1-score   support

          0       0.93      0.26      0.40       105
          1       0.87      0.51      0.64       927
          2       0.78      0.75      0.77     10843
          3       0.37      0.27      0.31        71
          4       0.92      0.94      0.93       392
          5       0.87      0.62      0.72     23479
          6       0.50      0.19      0.27       251
          7       0.76      0.89      0.82       714
          8       0.16      0.17      0.16        75
          9       0.22      0.38      0.28       485
         10       0.51      0.47      0.49       258
         11       0.88      0.87      0.88      7599
         12       0.93      0.94      0.93      3193
         13       0.77      0.73      0.75       356
         14       0.93      0.88      0.91     10416
         15       0.78      0.31      0.45      2953
         16       0.95      0.75      0.84      6510
         17       0.60      0.52      0.56       201
         18       0.95      0.88      0.91      1179
         19       0.78      0.90      0.83      3772
         20       0.62      0.68      0.65       179
         21       0.97      0.88      0.92      2710
         22       0.90      0.89      0.90        74
         23       0.65      0.80      0.72       317
         24       0.59      0.64      0.61      1096
         25       0.77      0.40      0.52       382
         26       0.64      0.56      0.59      1699
         27       0.81      0.93      0.87       282
         28       0.91      0.90      0.91     19134
         29       0.73      0.88      0.80       645
         30       0.75      0.61      0.68      1617
         31       0.65      0.56      0.60       339
         32       0.70      0.73      0.72       707
         33       0.40      0.36      0.38       198
         34       0.90      0.95      0.92       735
         35       0.51      0.61      0.56       148
         36       0.46      0.67      0.54       123
         37       0.89      0.81      0.85     62845
         38       0.76      0.55      0.64       196
         39       0.46      0.38      0.41       157
         40       0.96      0.67      0.79      1732
         41       0.46      0.44      0.45        43
         42       0.80      0.90      0.85       333
         43       1.00      0.05      0.10        39
         44       0.64      0.87      0.74      1194
         45       0.52      0.28      0.36        58
         46       0.90      0.92      0.91      1134
         47       0.75      0.90      0.82      2006
         48       0.70      0.42      0.53       333
         49       0.63      0.49      0.55        39
         50       0.60      0.66      0.63       142
         51       0.31      0.43      0.36      2154
         52       0.90      0.79      0.84       308
         53       0.65      0.98      0.78     20316
         54       0.77      0.76      0.76      8727
         55       0.57      0.55      0.56        29
         56       0.44      0.57      0.49       125
         57       0.11      0.25      0.15        24
         58       0.82      0.64      0.72        44
         59       0.85      0.21      0.33       111
         60       0.62      0.48      0.54       363
         61       0.68      0.12      0.21       156
         62       0.33      0.01      0.03        76
         63       0.35      0.19      0.25        79
         64       0.92      0.91      0.91      2820
         65       0.61      0.65      0.63      6570
         66       0.68      0.56      0.61      1092
         67       0.85      0.88      0.86      1437
         68       0.30      0.26      0.28        23
         69       0.82      0.52      0.64       181
         70       0.65      0.10      0.17       110
         71       0.76      0.62      0.69      4982
         72       1.00      0.35      0.52       198
         73       0.88      0.45      0.59       145
         74       0.92      0.94      0.93    189251
         75       0.83      0.89      0.86     23859
         76       0.96      0.72      0.82        90
         77       0.88      0.45      0.60       953
         78       0.77      0.56      0.64       263
         79       0.33      0.65      0.44      2657
         80       0.71      0.87      0.78       119
         81       0.78      0.04      0.07       179

avg / total       0.86      0.85      0.85    441856
